DistrictNumber,DistrictType,SchoolNumber,MNSchoolID,SchoolName,Address,City,State,Zipcode,County,Grades,NCESID,StateOrganizationId,ACTID
4004,7,0,4004-07,Cedar Riverside Community School,1610 S 6th Street,Minneapolis,MN,55454-1102,"Hennepin County, MN", EC-8,2700027,74004000000,
4004,7,10,4004-07-010,Cedar Riverside Community School,1610 S 6th Street Ste 100,Minneapolis,MN,55454-1102,"Hennepin County, MN", EC-8,270003000000,74004010000,
4005,7,0,4005-07,Metro Deaf School,1125 Energy Park Drive,Saint Paul,MN,55108-5032,"Ramsey County, MN", EC-12,2700028,74005000000,
4005,7,10,4005-07-010,Metro Deaf School,1125 Energy Park Drive,Saint Paul,MN,55108-5032,"Ramsey County, MN", EC-12,270003000000,74005010000,242266
4005,7,10,4005-07-010,Metro Deaf School,1125 Energy Park Drive,Saint Paul,MN,55108-5032,"Ramsey County, MN", EC-12,270003000000,74005010000,242266
4005,7,20,4005-07-020,Metro Deaf School ESY,1125 Energy Park Drive,Saint Paul,MN,55108-5032,"Ramsey County, MN", 1-12,2700028,74005020000,
4007,7,0,4007-07,Minnesota New Country School,210 Main St,Henderson,MN,56044-0488,"Sibley County, MN", KG-12,2700092,74007000000,
4007,7,0,4007-07,Minnesota New Country School,210 Main St,Henderson,MN,56044-0488,"Sibley County, MN", KG-12,2700092,74007000000,
4007,7,10,4007-07-010,Minnesota New Country School,210 Main St,Henderson,MN,56044-0488,"Sibley County, MN", 7-12,270009000000,74007010000,241371
4007,7,20,4007-07-020,Minnesota New Country Elementary,127 North 8th Street,Henderson,MN,56044-0488,"Sibley County, MN", KG-6,270009000000,74007020000,
4008,7,0,4008-07,PACT Charter School,7250 E Ramsey Pkwy,Ramsey,MN,55303-1691,"Anoka County, MN", KG-12,2700093,74008000000,
4008,7,10,4008-07-010,PACT Charter School,7250 E Ramsey Pkwy,Ramsey,MN,55303,"Anoka County, MN", KG-6,270009000000,74008010000,
4008,7,30,4008-07-030,PACT Charter Secondary,7250 E Ramsey Pkwy,Ramsey,MN,55303,"Anoka County, MN", 7-12,270009000000,74008030000,240077
4008,7,40,4008-07-040,PACT Charter School ESY,7250 E. Ramsey Parkway,Ramsey,MN,55303,"Anoka County, MN", 1-12,2700093,74008040000,
4011,7,0,4011-07,Athlos Leadership Academy,10100 Noble Parkway North,Brooklyn Park,MN,55443-1311,"Hennepin County, MN", EC-8,2700096,74011000000,
4011,7,10,4011-07-010,Athlos Leadership Academy,10100 Noble Parkway North,Brooklyn Park,MN,55443-1311,"Hennepin County, MN", PK-8,270010000000,74011010000,
